family,params,regs_atoms,physical_atoms,ancilla_atoms,ancilla_qubits,gamma_log,beta_mean,beta_min,max_unfold_dim,site_count,skipped_heavy,failed
PEPS_grid,"{""r"": 3, ""chi"": 2, ""inst"": 0}",20.0,9.0,11.0,11.0,15.390123735335369,5.605629849278348,4.437378906388214,8.0,9.0,,
PEPS_grid,"{""r"": 3, ""chi"": 2, ""inst"": 1}",20.0,9.0,11.0,11.0,14.54789611418275,5.108865578017993,3.7820738276488304,8.0,9.0,,
PEPS_grid,"{""r"": 3, ""chi"": 2, ""inst"": 2}",20.0,9.0,11.0,11.0,14.300234859620556,4.995604392664391,3.762518042915409,8.0,9.0,,
PEPS_grid,"{""r"": 3, ""chi"": 2, ""inst"": 3}",20.0,9.0,11.0,11.0,14.478008076859796,5.202814865216169,2.747586114836053,8.0,9.0,,
PEPS_grid,"{""r"": 3, ""chi"": 2, ""inst"": 4}",20.0,9.0,11.0,11.0,15.1313021823947,5.5036730076805505,3.9865111754430638,8.0,9.0,,
PEPS_grid,"{""r"": 3, ""chi"": 4, ""inst"": 0}",23.0,9.0,14.0,14.0,20.480403136138676,10.044074541773691,6.275856792374801,32.0,9.0,,
PEPS_grid,"{""r"": 3, ""chi"": 4, ""inst"": 1}",23.0,9.0,14.0,14.0,20.33695688922768,9.865385664250514,6.621398449301512,32.0,9.0,,
PEPS_grid,"{""r"": 3, ""chi"": 4, ""inst"": 2}",23.0,9.0,14.0,14.0,20.263110568828054,9.853487798789342,6.1228416833984385,32.0,9.0,,
PEPS_grid,"{""r"": 3, ""chi"": 4, ""inst"": 3}",23.0,9.0,14.0,14.0,20.834956741242095,10.380819969271363,6.854348976397401,32.0,9.0,,
PEPS_grid,"{""r"": 3, ""chi"": 4, ""inst"": 4}",23.0,9.0,14.0,14.0,20.448409685043956,9.986688575631003,6.513545031333771,32.0,9.0,,
PEPS_grid,"{""r"": 4, ""chi"": 2, ""inst"": 0}",34.0,16.0,18.0,18.0,27.566213580115598,5.696784583452709,3.7008146298593925,8.0,16.0,,
PEPS_grid,"{""r"": 4, ""chi"": 2, ""inst"": 1}",34.0,16.0,18.0,18.0,26.545534019594694,5.348939967934052,3.3397150944131964,8.0,16.0,,
PEPS_grid,"{""r"": 4, ""chi"": 2, ""inst"": 2}",34.0,16.0,18.0,18.0,27.70195802760162,5.731151114361641,4.407561534002651,8.0,16.0,,
PEPS_grid,"{""r"": 4, ""chi"": 2, ""inst"": 3}",34.0,16.0,18.0,18.0,27.672827677247554,5.744882302777126,3.979080672894023,8.0,16.0,,
PEPS_grid,"{""r"": 4, ""chi"": 2, ""inst"": 4}",34.0,16.0,18.0,18.0,27.33853412479162,5.668095614560974,3.083140131618231,8.0,16.0,,
PEPS_grid,"{""r"": 4, ""chi"": 4, ""inst"": 0}",38.0,16.0,22.0,22.0,38.03523674111219,11.07890995153696,7.169976537948953,32.0,16.0,,
PEPS_grid,"{""r"": 4, ""chi"": 4, ""inst"": 1}",38.0,16.0,22.0,22.0,37.84172109011431,10.990085391077109,5.9269794753400005,32.0,16.0,,
PEPS_grid,"{""r"": 4, ""chi"": 4, ""inst"": 2}",38.0,16.0,22.0,22.0,37.87039603063045,11.000912822185413,6.220178078037173,32.0,16.0,,
PEPS_grid,"{""r"": 4, ""chi"": 4, ""inst"": 3}",38.0,16.0,22.0,22.0,38.505775214612235,11.39896581845241,7.157290403443496,32.0,16.0,,
PEPS_grid,"{""r"": 4, ""chi"": 4, ""inst"": 4}",38.0,16.0,22.0,22.0,38.29933245364357,11.290223020306922,6.399120959638715,32.0,16.0,,
RandomGraph,"{""n"": 12, ""avg_deg"": 2, ""inst"": 0}",28.0,12.0,16.0,16.0,21.303668859348637,6.275705229777738,2.599441743233267,32.0,12.0,,
RandomGraph,"{""n"": 12, ""avg_deg"": 2, ""inst"": 1}",29.0,12.0,17.0,17.0,24.00327528691916,7.668033685088207,4.045255793933663,32.0,12.0,,
RandomGraph,"{""n"": 12, ""avg_deg"": 2, ""inst"": 2}",28.0,12.0,16.0,16.0,22.083684992650713,7.021198106924238,2.3542923509085996,32.0,12.0,,
RandomGraph,"{""n"": 12, ""avg_deg"": 2, ""inst"": 3}",30.0,12.0,18.0,18.0,24.96815259781012,9.160835123063249,3.6556160227059387,128.0,12.0,,
RandomGraph,"{""n"": 12, ""avg_deg"": 2, ""inst"": 4}",30.0,12.0,18.0,18.0,23.246396511613025,7.6058106906646215,2.8835334240092254,32.0,12.0,,
RandomGraph,"{""n"": 12, ""avg_deg"": 3, ""inst"": 0}",32.0,12.0,20.0,20.0,27.02362349739126,10.214805069875533,4.032444778018968,128.0,12.0,,
RandomGraph,"{""n"": 12, ""avg_deg"": 3, ""inst"": 1}",29.0,12.0,17.0,17.0,28.417729146770228,11.122234262016569,6.0501511749417185,32.0,12.0,,
RandomGraph,"{""n"": 12, ""avg_deg"": 3, ""inst"": 2}",31.0,12.0,19.0,19.0,29.859504922650498,13.258647736334117,6.637557526891858,128.0,12.0,,
RandomGraph,"{""n"": 12, ""avg_deg"": 3, ""inst"": 3}",42.0,12.0,30.0,30.0,35.97138287515193,23.06098314013781,3.753925607029414,512.0,12.0,,
RandomGraph,"{""n"": 12, ""avg_deg"": 3, ""inst"": 4}",34.0,12.0,22.0,22.0,28.634479716411764,13.224803426738545,2.108117638387509,512.0,12.0,,
RandomGraph,"{""n"": 16, ""avg_deg"": 2, ""inst"": 0}",36.0,16.0,20.0,20.0,30.094892311129893,7.199573733098321,2.5972699818420977,32.0,16.0,,
RandomGraph,"{""n"": 16, ""avg_deg"": 2, ""inst"": 1}",42.0,16.0,26.0,26.0,30.369000276743474,8.58132694749943,1.9522595607880855,128.0,16.0,,
RandomGraph,"{""n"": 16, ""avg_deg"": 2, ""inst"": 2}",36.0,16.0,20.0,20.0,30.027256123539047,8.084987974448474,2.2163656608813556,128.0,16.0,,
RandomGraph,"{""n"": 16, ""avg_deg"": 2, ""inst"": 3}",41.0,16.0,25.0,25.0,31.887599073988472,8.550120393468486,2.2571565978446406,128.0,16.0,,
RandomGraph,"{""n"": 16, ""avg_deg"": 2, ""inst"": 4}",37.0,16.0,21.0,21.0,32.13617577776045,8.02173204689692,4.188152770719822,32.0,16.0,,
RandomGraph,"{""n"": 16, ""avg_deg"": 3, ""inst"": 0}",41.0,16.0,25.0,25.0,35.77646704681427,11.073346732986344,4.513827877296635,128.0,16.0,,
RandomGraph,"{""n"": 16, ""avg_deg"": 3, ""inst"": 1}",41.0,16.0,25.0,25.0,34.27625313950616,10.85668070086348,1.454994696346992,128.0,16.0,,
RandomGraph,"{""n"": 16, ""avg_deg"": 3, ""inst"": 2}",49.0,16.0,33.0,33.0,38.90842572132221,15.609860090273129,2.848389316265077,512.0,16.0,,
RandomGraph,"{""n"": 16, ""avg_deg"": 3, ""inst"": 3}",46.0,16.0,30.0,30.0,38.80107989468911,14.309192149017264,1.1060489938182703,512.0,16.0,,
RandomGraph,"{""n"": 16, ""avg_deg"": 3, ""inst"": 4}",44.0,16.0,28.0,28.0,40.8872583297783,15.12439676188255,4.176729292285503,512.0,16.0,,
RandomGraph,"{""n"": 20, ""avg_deg"": 2, ""inst"": 0}",48.0,20.0,28.0,28.0,43.77126615110194,10.429167947519234,2.264221356258494,128.0,20.0,,
RandomGraph,"{""n"": 20, ""avg_deg"": 2, ""inst"": 1}",47.0,20.0,27.0,27.0,37.644441005040335,7.403241660647231,2.8528774707341356,128.0,20.0,,
RandomGraph,"{""n"": 20, ""avg_deg"": 2, ""inst"": 2}",47.0,20.0,27.0,27.0,38.71721186786302,8.371381859275775,1.6178156844780032,128.0,20.0,,
RandomGraph,"{""n"": 20, ""avg_deg"": 2, ""inst"": 3}",52.0,20.0,32.0,32.0,40.9709558835883,10.694912329056013,1.7258245985610696,128.0,20.0,,
RandomGraph,"{""n"": 20, ""avg_deg"": 2, ""inst"": 4}",46.0,20.0,26.0,26.0,34.60383375790197,7.180049696168501,1.8182804888527446,128.0,20.0,,
RandomGraph,"{""n"": 20, ""avg_deg"": 3, ""inst"": 0}",52.0,20.0,32.0,32.0,52.591698753305955,16.109763840410988,4.838303321286699,512.0,20.0,,
RandomGraph,"{""n"": 20, ""avg_deg"": 3, ""inst"": 1}",48.0,20.0,28.0,28.0,44.26004481412412,11.172935516205559,2.7714077751086226,128.0,20.0,,
RandomGraph,"{""n"": 20, ""avg_deg"": 3, ""inst"": 2}",57.0,20.0,37.0,37.0,49.5829692974589,15.63432046150208,1.6981830405626102,512.0,20.0,,
RandomGraph,"{""n"": 20, ""avg_deg"": 3, ""inst"": 3}",54.0,20.0,34.0,34.0,49.85715880610099,14.760112942915388,2.5459212838419383,128.0,20.0,,
RandomGraph,"{""n"": 20, ""avg_deg"": 3, ""inst"": 4}",50.0,20.0,30.0,30.0,42.53296719768068,11.239224986823782,1.214102275594944,512.0,20.0,,
QUBO_sweep,"{""n"": 12, ""inst"": 0}",28.0,12.0,16.0,16.0,7.611423261950697,1.9168847064051748,1.6330680788981262,32.0,12.0,,
QUBO_sweep,"{""n"": 12, ""inst"": 1}",28.0,12.0,16.0,16.0,8.780367744354669,2.217079854839867,1.3246697916833174,32.0,12.0,,
QUBO_sweep,"{""n"": 12, ""inst"": 2}",28.0,12.0,16.0,16.0,7.04854967391854,1.815294554104803,1.3774151525853664,32.0,12.0,,
QUBO_sweep,"{""n"": 12, ""inst"": 3}",28.0,12.0,16.0,16.0,7.002603429559128,1.8111110238647399,1.5328581732685154,32.0,12.0,,
QUBO_sweep,"{""n"": 12, ""inst"": 4}",28.0,12.0,16.0,16.0,8.43808571184967,2.0898086238731284,1.3313082653967252,32.0,12.0,,
QUBO_sweep,"{""n"": 16, ""inst"": 0}",37.0,16.0,21.0,21.0,11.904240118685113,2.1769200564384787,1.6570059602713685,64.0,16.0,,
QUBO_sweep,"{""n"": 16, ""inst"": 1}",37.0,16.0,21.0,21.0,12.38457157569911,2.366082235081028,1.6032893565203281,64.0,16.0,,
QUBO_sweep,"{""n"": 16, ""inst"": 2}",37.0,16.0,21.0,21.0,9.886657248672998,1.8766711629736252,1.5404918857057734,64.0,16.0,,
QUBO_sweep,"{""n"": 16, ""inst"": 3}",37.0,16.0,21.0,21.0,9.21588950318559,1.8010578028937148,1.3934682869009607,64.0,16.0,,
QUBO_sweep,"{""n"": 16, ""inst"": 4}",37.0,16.0,21.0,21.0,9.936294873140977,1.885320692640591,1.576729930853284,64.0,16.0,,
QUBO_sweep,"{""n"": 20, ""inst"": 0}",45.0,20.0,25.0,25.0,14.682048771247237,2.157113640852455,1.6421012787987606,64.0,20.0,,
QUBO_sweep,"{""n"": 20, ""inst"": 1}",45.0,20.0,25.0,25.0,13.24070888517777,2.0402894307206236,1.6224745842748332,64.0,20.0,,
QUBO_sweep,"{""n"": 20, ""inst"": 2}",45.0,20.0,25.0,25.0,15.239879143572395,2.2058649098228176,1.4684596385544173,64.0,20.0,,
QUBO_sweep,"{""n"": 20, ""inst"": 3}",45.0,20.0,25.0,25.0,14.217116498892471,2.1254210478646316,1.4760790541225126,64.0,20.0,,
QUBO_sweep,"{""n"": 20, ""inst"": 4}",45.0,20.0,25.0,25.0,15.472581500196101,2.2614560181555747,1.632688636927602,64.0,20.0,,
QUBO_sweep,"{""n"": 8, ""inst"": 0, ""encoder"": ""sweep""}",20.0,8.0,12.0,12.0,5.606360521029567,2.1631034801032887,1.2974986458389357,32.0,8.0,,
QUBO_sweep,"{""n"": 8, ""inst"": 1, ""encoder"": ""sweep""}",20.0,8.0,12.0,12.0,4.253591950695482,1.7099293985235167,1.4547607242116325,32.0,8.0,,
QUBO_sweep,"{""n"": 8, ""inst"": 2, ""encoder"": ""sweep""}",20.0,8.0,12.0,12.0,5.055611811665379,1.9259323200529186,1.456384465155853,32.0,8.0,,
QUBO_pauli,"{""n"": 8, ""inst"": 0, ""encoder"": ""pauli""}",21.0,8.0,13.0,13.0,3.326483103697433,2.0824590945681267,1.0,8192.0,8.0,,
QUBO_pauli,"{""n"": 8, ""inst"": 1, ""encoder"": ""pauli""}",21.0,8.0,13.0,13.0,2.6004416750173647,1.7871456573754054,1.0,8192.0,8.0,,
QUBO_pauli,"{""n"": 8, ""inst"": 2, ""encoder"": ""pauli""}",21.0,8.0,13.0,13.0,3.055236409839063,1.9465411013296035,1.0,8192.0,8.0,,
QUBO_network,"{""n"": 8, ""inst"": 0, ""encoder"": ""network""}",,,,,,,,,,True,
QUBO_network,"{""n"": 8, ""inst"": 1, ""encoder"": ""network""}",,,,,,,,,,True,
QUBO_network,"{""n"": 8, ""inst"": 2, ""encoder"": ""network""}",,,,,,,,,,True,
QUBO_sweep,"{""n"": 10, ""inst"": 0, ""encoder"": ""sweep""}",24.0,10.0,14.0,14.0,6.735247607361002,2.022207990119774,1.6216959763548955,32.0,10.0,,
QUBO_sweep,"{""n"": 10, ""inst"": 1, ""encoder"": ""sweep""}",24.0,10.0,14.0,14.0,5.104945489200192,1.6861896782831103,1.0841654236458838,32.0,10.0,,
QUBO_sweep,"{""n"": 10, ""inst"": 2, ""encoder"": ""sweep""}",24.0,10.0,14.0,14.0,5.787976157017668,1.8105125583663935,1.2436322235630306,32.0,10.0,,
QUBO_pauli,"{""n"": 10, ""inst"": 0, ""encoder"": ""pauli""}",23.0,10.0,13.0,13.0,3.3909973681748453,1.9451550215402864,1.0,8192.0,10.0,,
QUBO_pauli,"{""n"": 10, ""inst"": 1, ""encoder"": ""pauli""}",23.0,10.0,13.0,13.0,2.823385113237495,1.7732817694684861,1.0,8192.0,10.0,,
QUBO_pauli,"{""n"": 10, ""inst"": 2, ""encoder"": ""pauli""}",23.0,10.0,13.0,13.0,3.185179912304514,1.871338560726323,1.0,8192.0,10.0,,
QUBO_network,"{""n"": 10, ""inst"": 0, ""encoder"": ""network""}",,,,,,,,,,True,
QUBO_network,"{""n"": 10, ""inst"": 1, ""encoder"": ""network""}",,,,,,,,,,True,
QUBO_network,"{""n"": 10, ""inst"": 2, ""encoder"": ""network""}",,,,,,,,,,True,
QUBO_sweep,"{""n"": 12, ""inst"": 0, ""encoder"": ""sweep""}",28.0,12.0,16.0,16.0,7.611423261950697,1.9168847064051748,1.6330680788981262,32.0,12.0,,
QUBO_sweep,"{""n"": 12, ""inst"": 1, ""encoder"": ""sweep""}",28.0,12.0,16.0,16.0,8.780367744354669,2.217079854839867,1.3246697916833174,32.0,12.0,,
QUBO_sweep,"{""n"": 12, ""inst"": 2, ""encoder"": ""sweep""}",28.0,12.0,16.0,16.0,7.04854967391854,1.815294554104803,1.3774151525853664,32.0,12.0,,
QUBO_pauli,"{""n"": 12, ""inst"": 0, ""encoder"": ""pauli""}",,,,,,,,,,True,
QUBO_pauli,"{""n"": 12, ""inst"": 1, ""encoder"": ""pauli""}",,,,,,,,,,True,
QUBO_pauli,"{""n"": 12, ""inst"": 2, ""encoder"": ""pauli""}",,,,,,,,,,True,
QUBO_network,"{""n"": 12, ""inst"": 0, ""encoder"": ""network""}",,,,,,,,,,True,
QUBO_network,"{""n"": 12, ""inst"": 1, ""encoder"": ""network""}",,,,,,,,,,True,
QUBO_network,"{""n"": 12, ""inst"": 2, ""encoder"": ""network""}",,,,,,,,,,True,
PEPS_r4_chi2_order,"{""order"": ""left""}",34.0,16.0,18.0,18.0,27.566213580115598,5.696784583452709,3.7008146298593925,8.0,16.0,,
PEPS_r4_chi2_order,"{""order"": ""greedy""}",34.0,16.0,18.0,18.0,27.566213580115598,5.696784583452709,3.7008146298593925,8.0,16.0,,
PEPS_r4_chi2_order,"{""order"": ""random""}",40.0,16.0,24.0,24.0,28.392282261524358,6.042510392874763,3.7008146298593925,32.0,16.0,,
QUBO_sweep_n12_order,"{""order"": ""left""}",28.0,12.0,16.0,16.0,7.611423261950697,1.9168847064051748,1.6330680788981262,32.0,12.0,,
QUBO_sweep_n12_order,"{""order"": ""greedy""}",28.0,12.0,16.0,16.0,7.611423261950697,1.9168847064051748,1.6330680788981262,32.0,12.0,,
QUBO_sweep_n12_order,"{""order"": ""random""}",35.0,12.0,23.0,23.0,13.256903251109629,3.1440907173048025,1.8440777717073882,512.0,12.0,,
